variant,seed,arm,roc_auc,average_precision,n_features,fit_seconds
reported_causal_no_uid,20260828,temporal,0.8837072874626016,0.5113559624854281,439,14.947626013949048
reported_causal_no_uid,20260829,temporal,0.8884008038324288,0.5054620700548068,439,14.629682441009209
reported_causal_no_uid,20260830,temporal,0.884051746415941,0.507443122115909,439,14.665491956984624
noncausal_aggregates,20260828,temporal,0.8843855289739797,0.5172069742523853,439,14.519722696044482
noncausal_aggregates,20260829,temporal,0.8826506607712324,0.5073998453266723,439,14.456842607003637
noncausal_aggregates,20260830,temporal,0.8868030272287476,0.516000608446097,439,14.714864819019567
causal_plus_uid,20260828,temporal,0.8832639982557319,0.5105588754894996,441,15.133403097977862
causal_plus_uid,20260829,temporal,0.8864851245726304,0.5117815627845048,441,15.297164034971502
causal_plus_uid,20260830,temporal,0.8853881905960318,0.5063007994538187,441,15.481933918024879
no_aggregates,20260828,temporal,0.8804931162040279,0.5083335582581789,431,14.237582408008166
no_aggregates,20260829,temporal,0.8811883185554655,0.5038068274864792,431,14.413665146974381
no_aggregates,20260830,temporal,0.8832968526373107,0.5100019826498863,431,14.242073588015046
