n_estimators,max_depth,learning_rate,subsample,colsample_bytree,min_child_weight,reg_lambda,roc_auc,average_precision,is_shipped
1000,12,0.05,0.9,0.5,4,1.0,0.8935688154247463,0.5519996115868475,False
1000,10,0.05,0.9,0.5,1,1.0,0.8934443009874476,0.5497677066698687,False
1000,8,0.05,0.9,0.5,4,1.0,0.8960745433149584,0.5497192972516616,False
1000,10,0.03,0.9,0.5,4,1.0,0.8984248623296676,0.5496036118544949,False
1000,10,0.05,0.9,0.7,4,1.0,0.894268189278947,0.5474017935055553,False
1000,10,0.05,0.9,0.3,4,1.0,0.8932688729035821,0.547106440437763,False
1000,10,0.05,0.7,0.5,4,1.0,0.8929034722867942,0.5469312662659391,False
1000,10,0.05,0.9,0.5,4,1.0,0.8932409726257771,0.5462878163041457,True
1000,10,0.05,1.0,0.5,4,1.0,0.8949335453366852,0.5461294862528032,False
1000,10,0.05,0.9,0.5,8,1.0,0.8947590991565537,0.5432395149890592,False
1000,10,0.08,0.9,0.5,4,1.0,0.8888488332457822,0.5368444872329717,False
1000,6,0.05,0.9,0.5,4,1.0,0.8924574199060802,0.5300794541407945,False
