model,arm,seed,block,fit_seconds,n,n_positive,threshold,roc_auc,average_precision,precision,recall,f1,tn,fp,fn,tp,value_recall,value_fraud_rate_approved,false_decline_rate
xgboost,temporal,20260828,band,16.45263023802545,58326,2561,0.5,0.92940475477345,0.6534623995082028,0.8867761452031115,0.4006247559547052,0.5519096288327058,55634,131,1535,1026,0.27021146378614336,0.041198306789272006,0.002349143728144894
xgboost,temporal,20260828,cal,16.45263023802545,60464,2121,0.5,0.9098204239389611,0.5820719615374613,0.8694638694638694,0.3517208863743517,0.5008392077878483,58231,112,1375,746,0.2572673668814466,0.03392903627033994,0.0019196818812882437
xgboost,temporal,20260828,test,16.45263023802545,115534,3942,0.5,0.8837072874626016,0.5113559624854281,0.8201024327784892,0.3249619482496195,0.46547965116279066,111311,281,2661,1281,0.21253722502938555,0.029428815847046968,0.0025181016560326904
xgboost,temporal,20260829,band,16.16758985898923,58326,2561,0.5,0.9275194550904666,0.6545493856297844,0.883982683982684,0.39867239359625145,0.5495156081808397,55631,134,1540,1021,0.2708341788447033,0.04117462370612444,0.002402940912758899
xgboost,temporal,20260829,cal,16.16758985898923,60464,2121,0.5,0.9135391974607755,0.5814627166019047,0.8673587081891581,0.35454974068835454,0.5033467202141901,58228,115,1369,752,0.2543386503820382,0.034064906209006235,0.0019711019316798932
xgboost,temporal,20260829,test,16.16758985898923,115534,3942,0.5,0.8884008038324288,0.5054620700548068,0.8166134185303514,0.3242009132420091,0.4641365534773924,111305,287,2664,1278,0.19983629690692234,0.02989143212344874,0.002571868951179296
xgboost,temporal,20260830,band,16.09481284598587,58326,2561,0.5,0.9302232940268914,0.6578925106204776,0.8856382978723404,0.39008199921905506,0.5416101924640824,55636,129,1562,999,0.2579213916331731,0.041872590963750914,0.0023132789384022238
xgboost,temporal,20260830,cal,16.09481284598587,60464,2121,0.5,0.9129197688905107,0.5831096061181241,0.8724373576309795,0.36115040075436117,0.5108369456485495,58231,112,1355,766,0.2719096503821922,0.03328299769207979,0.0019196818812882437
xgboost,temporal,20260830,test,16.09481284598587,115534,3942,0.5,0.884051746415941,0.507443122115909,0.8207301173402868,0.3193810248604769,0.4598246895544193,111317,275,2683,1259,0.20146997491481852,0.029825469225560466,0.0024643343608860852
xgboost,temporal,20260831,band,15.892925031017512,58326,2561,0.5,0.9281958060672764,0.6582663616298539,0.8868243243243243,0.4099960952752831,0.5607476635514019,55631,134,1511,1050,0.2765663365884484,0.04085853119386882,0.002402940912758899
xgboost,temporal,20260831,cal,15.892925031017512,60464,2121,0.5,0.9133021747060982,0.5770201340580708,0.8672055427251733,0.3540782649693541,0.5028456645463676,58228,115,1370,751,0.2510718040458363,0.03420279484575701,0.0019711019316798932
xgboost,temporal,20260831,test,15.892925031017512,115534,3942,0.5,0.884752930867716,0.5108743715506237,0.8282763072950291,0.3254693049213597,0.4673101438717902,111326,266,2659,1283,0.20223384131688873,0.029801649260567647,0.0023836834181661768
xgboost,temporal,20260901,band,15.964581381995231,58326,2561,0.5,0.9288516758824308,0.6571078956819666,0.8925476603119584,0.4021866458414682,0.5545087483176312,55641,124,1531,1030,0.2638688892630684,0.041534977450920725,0.002223616964045548
xgboost,temporal,20260901,cal,15.964581381995231,60464,2121,0.5,0.9089009076960155,0.5754206850125269,0.874133949191686,0.3569071192833569,0.5068630733177101,58234,109,1364,757,0.25298602095043243,0.03411327467803808,0.0018682618308965943
xgboost,temporal,20260901,test,15.964581381995231,115534,3942,0.5,0.8848223598312166,0.509920520030734,0.8115015974440895,0.3221714865550482,0.4612311603413837,111297,295,2672,1270,0.20628543525551601,0.029652609205985645,0.0026435586780414366
xgboost,stratified,20260828,band,16.98959653696511,59054,2066,0.5,0.9661666641525931,0.8379114595602264,0.9593373493975904,0.616650532429816,0.750736593989393,56934,54,792,1274,0.5855339463842161,0.016946520586610222,0.0009475679090334807
xgboost,stratified,20260828,cal,16.98959653696511,59054,2066,0.5,0.9621385365278918,0.8195055623413783,0.9573643410852714,0.5977734753146177,0.735995232419547,56933,55,831,1235,0.5432272455312176,0.01798582398935786,0.0009651154629044712
xgboost,stratified,20260828,test,16.98959653696511,118108,4133,0.5,0.9628089865874989,0.8170838016298109,0.9490740740740741,0.5952092910718606,0.7315985130111524,113843,132,1673,2460,0.5475965370998751,0.01717051233802524,0.001158148716823865
xgboost,stratified,20260829,band,16.505413933948148,59054,2066,0.5,0.9695186801100294,0.8329500591548242,0.9480812641083521,0.6098741529525653,0.7422680412371133,56919,69,806,1260,0.5482673413768083,0.017555321355206696,0.0012107812170983365
xgboost,stratified,20260829,cal,16.505413933948148,59054,2066,0.5,0.9699104084411446,0.8349241718535104,0.9546850998463902,0.6016456921587608,0.7381235154394299,56929,59,823,1243,0.5459937671189373,0.017799694016603498,0.0010353056783884327
xgboost,stratified,20260829,test,16.505413933948148,118108,4133,0.5,0.9656991711276732,0.8245655524942243,0.9548262548262548,0.5983547060246794,0.7356834746392981,113858,117,1660,2473,0.5309371691176791,0.01805743997308825,0.0010265409080938803
xgboost,stratified,20260830,band,17.237681642989628,59054,2066,0.5,0.9630635754501669,0.8156653995961122,0.9486977111286503,0.5818005808325266,0.7212721272127213,56923,65,864,1202,0.5198053109729251,0.020322090729954903,0.001140591001614375
xgboost,stratified,20260830,cal,17.237681642989628,59054,2066,0.5,0.9699698119221579,0.8291633558262643,0.9634241245136187,0.5992255566311714,0.7388839152491794,56941,47,828,1238,0.5434186162206883,0.01773122702928316,0.0008247350319365481
xgboost,stratified,20260830,test,17.237681642989628,118108,4133,0.5,0.9682228567386005,0.8355685376084355,0.9571209800918836,0.6048874909266876,0.7412898443291327,113863,112,1633,2500,0.540949640954089,0.017042280525911883,0.0009826716385172188
xgboost,stratified,20260831,band,16.476775043003727,59054,2066,0.5,0.9668295854272339,0.8269348690588246,0.9406461307287753,0.6060019361084221,0.7371209891080366,56909,79,814,1252,0.5668506850573364,0.01693429340421503,0.0013862567558082404
xgboost,stratified,20260831,cal,16.476775043003727,59054,2066,0.5,0.970149929154087,0.8346424505453773,0.93993993993994,0.6060019361084221,0.736904061212478,56908,80,814,1252,0.5241130735544843,0.018244337923074706,0.0014038043096792306
xgboost,stratified,20260831,test,16.476775043003727,118108,4133,0.5,0.9638798213407279,0.8184465456394063,0.9478599221789883,0.5894023711589644,0.7268387289273459,113841,134,1697,2436,0.5325349928523828,0.018301417209031973,0.0011756964246545296
xgboost,stratified,20260901,band,16.48822218697751,59054,2066,0.5,0.9631976324765575,0.8194846092704041,0.953198127925117,0.5914811229428848,0.7299880525686978,56928,60,844,1222,0.5303241144944186,0.01903816113986274,0.0010528532322594231
xgboost,stratified,20260901,cal,16.48822218697751,59054,2066,0.5,0.9663296754922199,0.8227728965174466,0.9511426319936959,0.5842207163601162,0.7238380809595203,56926,62,859,1207,0.5156831701733581,0.019334284850266753,0.0010879483400014038
xgboost,stratified,20260901,test,16.48822218697751,118108,4133,0.5,0.9684504016405174,0.8314552980622909,0.9548757170172084,0.6041616259375756,0.7400711321873147,113857,118,1636,2497,0.5460784410731612,0.018327151401461197,0.0010353147620092125
xgboost,card_disjoint,20260828,band,18.812109054997563,55411,2208,0.5,0.8634823879728368,0.5657410822089651,0.8808234019501625,0.36820652173913043,0.5193229000319386,53093,110,1395,813,0.24138116894238226,0.03606997798088886,0.0020675525816213373
xgboost,card_disjoint,20260828,cal,18.812109054997563,56870,2192,0.5,0.8723335764287429,0.5633149157826782,0.899103139013453,0.3658759124087591,0.5201037613488975,54588,90,1390,802,0.3289367129349739,0.0326699426283997,0.001646000219466696
xgboost,card_disjoint,20260828,test,18.812109054997563,114442,3927,0.5,0.857763588051731,0.5425140597039649,0.9087301587301587,0.34988540870893814,0.5052399338113625,110377,138,2553,1374,0.23587637206116896,0.03055265623013728,0.0012486992715920915
xgboost,card_disjoint,20260829,band,17.97619203099748,57767,1820,0.5,0.8521112161293941,0.521187168269556,0.8915857605177994,0.3027472527472527,0.45200984413453654,55880,67,1269,551,0.30150949989183984,0.03135742274036865,0.0011975619783008919
xgboost,card_disjoint,20260829,cal,17.97619203099748,62865,2499,0.5,0.8340278231028687,0.5387819077434023,0.8808808808808809,0.352140856342537,0.5031446540880503,60247,119,1619,880,0.21330176903647094,0.03312381162603629,0.001971308352383792
xgboost,card_disjoint,20260829,test,17.97619203099748,116856,4258,0.5,0.8506274886676453,0.562909807630455,0.8968560397131826,0.3818694222639737,0.5356613408005272,112411,187,2632,1626,0.24481727575205892,0.03137699456195706,0.0016607755022291692
xgboost,card_disjoint,20260830,band,18.835431734041777,58806,2323,0.5,0.8424456170870318,0.5555954166271396,0.9097826086956522,0.360309944037882,0.5161887141535615,56400,83,1486,837,0.292793399242575,0.034329028321824905,0.0014694686896942442
xgboost,card_disjoint,20260830,cal,18.835431734041777,58806,1691,0.5,0.8758802840689982,0.5618396882182732,0.898355754857997,0.35541099940863397,0.5093220338983051,57047,68,1090,601,0.24928505614746094,0.026989956620142478,0.001190580407948875
xgboost,card_disjoint,20260830,test,18.835431734041777,117853,4039,0.5,0.8361870096292117,0.4803490482313883,0.9,0.27407774201535035,0.42019358512051624,113691,123,2932,1107,0.2568067408792828,0.027165616055174695,0.0010807106331382783
xgboost,card_disjoint,20260831,band,18.130755934980698,57990,2147,0.5,0.8307016566615029,0.519480741354625,0.8971848225214198,0.34140661387983234,0.49460188933873145,55759,84,1414,733,0.3251410417299417,0.027513946002967853,0.0015042171803090808
xgboost,card_disjoint,20260831,cal,18.130755934980698,59665,1906,0.5,0.8856618412284339,0.5608168204959552,0.9048951048951049,0.33945435466946483,0.49370469286531865,57691,68,1259,647,0.19294668298784134,0.03093225699394366,0.0011773057012759917
xgboost,card_disjoint,20260831,test,18.130755934980698,117012,4191,0.5,0.8634176383330555,0.5679680593911856,0.8879765395894428,0.3612502982581723,0.5135685210312075,112630,191,2677,1514,0.26275199334077476,0.02799196230637512,0.001692947235000576
xgboost,card_disjoint,20260901,band,18.631873931968585,57403,1670,0.5,0.8491279046342748,0.5020038700863367,0.892436974789916,0.31796407185628744,0.4688741721854305,55669,64,1139,531,0.19124286926983883,0.033380172185857794,0.0011483322268673855
xgboost,card_disjoint,20260901,cal,18.631873931968585,63496,2349,0.5,0.8905852211362072,0.6076971811248892,0.8741197183098591,0.4227330779054917,0.56987087517934,61004,143,1356,993,0.31400558350361013,0.026902084552820435,0.0023386265883853664
xgboost,card_disjoint,20260901,test,18.631873931968585,115140,4046,0.5,0.8467402058265959,0.543491296446207,0.8705035971223022,0.3588729609490855,0.5082254112705635,110878,216,2594,1452,0.21598531837485252,0.03523712912893564,0.001944299422111005
