encoding,n_features,entanglement,n_qubits,logical_depth,logical_gates,transpiled_depth,transpiled_gates,two_qubit_gates
dense_angle,2,linear,1,4,4,10,10,0
dense_angle,2,none,1,4,4,10,10,0
dense_angle,4,linear,2,6,10,12,22,2
dense_angle,4,none,2,4,8,10,20,0
dense_angle,6,linear,3,8,16,14,34,4
dense_angle,6,none,3,4,12,10,30,0
dense_angle,8,linear,4,9,22,15,46,6
dense_angle,8,none,4,4,16,10,40,0
z,2,none,2,4,8,7,14,0
z,4,none,4,4,16,7,28,0
z,6,none,6,4,24,7,42,0
z,8,none,8,4,32,7,56,0
zz,2,linear,2,10,14,14,21,4
zz,2,none,2,4,8,7,14,0
zz,4,linear,4,19,34,23,49,12
zz,4,none,4,4,16,7,28,0
zz,6,linear,6,25,54,29,77,20
zz,6,none,6,4,24,7,42,0
zz,8,linear,8,31,74,35,105,28
zz,8,none,8,4,32,7,56,0
