arm,alpha,nominal,empirical,ratio,band_low,band_high,observed_errors,n_test_legit,tail_p,finite_sample_ok,conservative
temporal,0.01,0.01,0.014938346834898558,1.4938346834898557,973,1266,1667,111592,2.1105247731330575e-18,False,False
temporal,0.005,0.005,0.007464692809520395,1.4929385619040791,458,665,833,111592,4.368619409511921e-10,False,False
temporal,0.002,0.002,0.0026435586780414366,1.3217793390207182,161,292,295,111592,0.003818414538691305,False,False
temporal,0.001,0.001,0.0009767725284966665,0.9767725284966664,69,162,109,111592,0.5364604926506216,True,False
stratified,0.01,0.01,0.009519631498135556,0.9519631498135556,993,1292,1085,113975,0.8206403799489377,True,False
stratified,0.005,0.005,0.005080061416977407,1.0160122833954814,467,679,579,113975,0.39201036071303563,True,False
stratified,0.002,0.002,0.002061855670103093,1.0309278350515465,164,298,235,113975,0.361115771977467,True,False
stratified,0.001,0.001,0.001158148716823865,1.1581487168238649,70,164,132,113975,0.14413259395657166,True,False
card_disjoint,0.01,0.01,0.00895805999185631,0.895805999185631,960,1256,990,110515,0.9788379930339495,True,False
card_disjoint,0.005,0.005,0.004252816359770167,0.8505632719540335,452,661,470,110515,0.9816758414399407,True,False
card_disjoint,0.002,0.002,0.0015653983622132743,0.7826991811066372,159,291,173,110515,0.9742554863362134,True,False
card_disjoint,0.001,0.001,0.0007600778174908383,0.7600778174908384,67,161,84,110515,0.9292773080110612,True,False
