arm,alpha,n_seeds,n_outside,ratio_mean,ratio_sd,ratio_min,ratio_max
card_disjoint,0.01,5,2,0.9162402089444732,0.13280806985762422,0.7853147906861311,1.075507557860708
card_disjoint,0.005,5,0,0.9170429016823137,0.054551438726522385,0.8505632719540335,0.9928479800376052
card_disjoint,0.002,5,0,0.904023792601172,0.15661113599309576,0.7826991811066372,1.1655631487045852
card_disjoint,0.001,5,1,0.8819858816354481,0.3617064177332873,0.6501836329449804,1.5245388713094192
stratified,0.01,5,0,1.0081158148716824,0.03762029668702495,0.9519631498135556,1.05637201140601
stratified,0.005,5,0,1.0391752577319588,0.03677490508600588,0.9896907216494844,1.0844483439350734
stratified,0.002,5,0,1.018644439570081,0.07090012318784615,0.9431892958982232,1.1274402281202016
stratified,0.001,5,0,0.9616143891204212,0.1397771586472657,0.7984207062952402,1.1581487168238649
temporal,0.01,5,5,1.436303677682988,0.05462079761646123,1.348662986594021,1.4938346834898557
temporal,0.005,5,5,1.455659903935766,0.035987957267219504,1.4212488350419386,1.4929385619040791
temporal,0.002,5,4,1.3137142447487276,0.06663915851522761,1.2052835328697398,1.3845078500250914
temporal,0.001,5,0,0.9427199082371496,0.020434716200070615,0.9230052333500608,0.9767725284966664
