bucket,n,n_fraud,total_amount,fraud_amount,count_rate,value_rate,bucket_end
0,56059,1521,7236496.979,217822.056,0.02713212865017214,0.030100483235481222,13
14,70607,1593,8890662.647,204813.991,0.022561502400611836,0.023036977009707027,27
28,45458,1692,6129506.953,243580.098,0.037221171190989485,0.03973893819971657,41
42,40325,1685,5420163.794,223087.552,0.04178549287042777,0.04115882111292521,55
56,43966,1923,6087703.541,261579.767,0.04373834326525042,0.04296854556702533,69
70,41128,1556,5573894.988,200645.888,0.03783310639953316,0.035997428805524534,83
84,49820,1796,7290262.853,294008.153,0.0360497792051385,0.04032888236382497,97
98,42160,1584,5804138.551,290263.114,0.03757115749525617,0.05000968041157293,111
112,44653,1902,6018078.893,316818.075,0.0425951223881934,0.052644387126348696,125
126,37830,1338,4995121.958,220098.306,0.03536875495638382,0.044062649090579026,139
140,39992,1299,5564187.661,182664.418,0.03248149629925985,0.032828586871775534,153
154,40849,1294,5501580.559,188394.716,0.03167764204754094,0.03424374395314566,167
168,37693,1480,5227149.358,240068.726,0.03926458493619505,0.04592727499408101,181
