component,stage,profile,batch_size,repetitions,n_features,per_call_p50_ms,per_call_p95_ms,per_call_p99_ms,per_transaction_p50_ms,per_transaction_p95_ms,per_transaction_p99_ms,authorisation_budget_ms,network_response_ms
classical scorer,all traffic,1-thread CPU,1,200,439,0.16214299999999998,0.22352694999999997,0.31098137999999986,0.16214299999999998,0.22352694999999997,0.31098137999999986,300.0,130.0
classical scorer,all traffic,1-thread CPU,32,200,439,1.4453375,1.9814782999999991,2.697877899999998,0.045166796875,0.06192119687499997,0.08430868437499994,300.0,130.0
classical scorer,all traffic,1-thread CPU,1024,200,439,17.679420999999998,18.8308242,20.64728574999999,0.017265059570312498,0.0183894767578125,0.020163364990234366,300.0,130.0
classical scorer,all traffic,all-core CPU,1,200,439,0.31545049999999997,15.203727949999987,19.488761159999886,0.31545049999999997,15.203727949999987,19.488761159999886,300.0,130.0
classical scorer,all traffic,all-core CPU,32,200,439,25.303145,33.78913135,35.43840135,0.79072328125,1.0559103546875,1.1074500421875,300.0,130.0
classical scorer,all traffic,all-core CPU,1024,200,439,30.8261255,36.2888878,38.506990119999976,0.03010363818359375,0.0354383669921875,0.03760448253906248,300.0,130.0
classical scorer,all traffic,GPU,1,200,439,19.436956000000002,24.49995635,24.61950894,19.436956000000002,24.49995635,24.61950894,300.0,130.0
classical scorer,all traffic,GPU,32,200,439,30.285665,35.41867055,35.52944831,0.94642703125,1.1068334546875,1.1102952596875,300.0,130.0
classical scorer,all traffic,GPU,1024,200,439,31.81405,37.10391955,38.16427108999999,0.031068408203125,0.036234296435546876,0.03726979598632812,300.0,130.0
in-band re-scorer,abstention band,1-thread CPU,1,200,8,0.058368500000000004,0.0745723,0.17658800999999993,0.058368500000000004,0.0745723,0.17658800999999993,300.0,130.0
in-band re-scorer,abstention band,1-thread CPU,32,200,8,0.15363100000000002,0.2511221,0.31384082999999996,0.0048009687500000005,0.007847565625,0.009807525937499999,300.0,130.0
in-band re-scorer,abstention band,1-thread CPU,1024,200,8,2.651958,3.4814032999999993,4.1052024899999955,0.002589802734375,0.0033998079101562493,0.004008986806640621,300.0,130.0
in-band re-scorer,abstention band,all-core CPU,1,200,8,19.051265,20.90924369999999,23.358008629999993,19.051265,20.90924369999999,23.358008629999993,300.0,130.0
in-band re-scorer,abstention band,all-core CPU,32,200,8,28.768210500000002,31.86407795,33.939777959999994,0.8990065781250001,0.9957524359375,1.0606180612499998,300.0,130.0
in-band re-scorer,abstention band,all-core CPU,1024,200,8,29.298108,34.2649914,35.443626819999984,0.02861143359375,0.0334619056640625,0.034612916816406235,300.0,130.0
in-band re-scorer,abstention band,GPU,1,200,8,19.1317235,22.062305199999997,24.02743642,19.1317235,22.062305199999997,24.02743642,300.0,130.0
in-band re-scorer,abstention band,GPU,32,200,8,28.7704235,33.73510295,36.94187486999998,0.899075734375,1.0542219671875,1.1544335896874993,300.0,130.0
in-band re-scorer,abstention band,GPU,1024,200,8,28.75171,33.58287705,33.83566201,0.028077841796875,0.032795778369140625,0.033042638681640625,300.0,130.0
quantum kernel (screened out),abstention band,CPU (unconstrained),1,200,8,92.06177,102.32930004999999,113.5074978,92.06177,102.32930004999999,113.5074978,300.0,130.0
