experiment,bond_dimension,seed,contraction_width,n_features,n_train,n_eval,roc_auc,average_precision,final_loss,loss_initial,loss_min,epoch_of_min,fit_seconds,gpu_contended
full,4,20260828,1,431,356216,115534,0.807439921708344,0.2149426770600668,0.34560399348557985,0.5122430114444958,0.34560399348557985,30,2709.396626326954,False
full,4,20260829,1,431,356216,115534,0.8054190572790005,0.2511790507048869,0.32728898003645523,0.537766560249851,0.32728898003645523,30,2700.9388362648897,False
full,4,20260830,1,431,356216,115534,0.7904148652849645,0.14424905882647698,0.3371475241076181,0.5517575602079837,0.33713750433317563,29,2684.9876570058987,False
full,4,20260831,1,431,356216,115534,0.8061248223624227,0.18824245177889562,0.3403594640277313,0.5012596975004263,0.3403594640277313,30,2685.3752103489824,False
full,8,20260828,1,431,356216,115534,0.7989144898686703,0.17886831307537607,0.30750159967351787,0.47305159721107964,0.30750159967351787,30,2703.236227652058,False
full,8,20260829,1,431,356216,115534,0.7978892706248635,0.20918382788414358,0.3020639263292089,0.45624287332935776,0.3020639263292089,30,2711.680333436001,False
full,8,20260830,1,431,356216,115534,0.7909926034187962,0.163822577570884,0.32075210236002727,0.49566257131087116,0.32075210236002727,30,2706.2777999991085,False
full,8,20260831,1,431,356216,115534,0.532744556672875,0.045250570907829704,0.6506659814062072,0.49022533084685105,0.48205458595962236,2,2706.601684956113,False
full,16,20260828,1,431,356216,115534,0.7983280030693825,0.24642561186213535,0.3119734982945766,0.4904175230086922,0.3119734982945766,30,2747.69480567798,False
full,16,20260829,1,431,356216,115534,0.786743709526539,0.17889476427761625,0.30993910560489685,0.5000588535033661,0.30991648400708266,29,2741.0553173311055,False
full,16,20260830,1,431,356216,115534,0.8011803510297841,0.19446689691379393,0.3444647862143554,0.4797479740201572,0.3444647862143554,30,2747.651998291025,False
full,16,20260831,1,431,356216,115534,0.7823857090803241,0.17402701766062678,0.2935203755430908,0.4714804275648356,0.2935203755430908,30,2750.713082183851,False
full,32,20260828,1,431,356216,115534,0.7888501044647716,0.16930025486407546,0.36520636098361353,0.4768270440417216,0.36520636098361353,30,2782.612195813097,False
full,32,20260829,1,431,356216,115534,0.8007417606644106,0.2277529417727311,0.3206271031767235,0.4801808569092474,0.3206271031767235,30,2722.9561145000625,False
full,32,20260830,1,431,356216,115534,0.7640120112663806,0.10034615826440198,0.3697852667363458,0.5155098656123023,0.3697141676878151,29,2728.064588114852,False
full,32,20260831,1,431,356216,115534,0.4876234970117823,0.04967325919528059,0.6682466045338259,0.4775111597642685,0.4775111597642685,1,2727.607015037909,False
