encoding,n_features,entanglement,n_qubits,backend,reference,n_points,max_abs_difference,agrees,tolerance
zz,2,linear,2,braket,statevector,6,4.440892098500626e-16,True,1e-10
zz,2,linear,2,aer_cpu,statevector,6,2.6645352591003757e-15,True,1e-10
zz,2,linear,2,aer_gpu,statevector,6,2.6645352591003757e-15,True,1e-10
zz,4,linear,4,braket,statevector,6,5.551115123125783e-16,True,1e-10
zz,4,linear,4,aer_cpu,statevector,6,1.3322676295501878e-15,True,1e-10
zz,4,linear,4,aer_gpu,statevector,6,1.3322676295501878e-15,True,1e-10
z,4,none,4,braket,statevector,6,6.661338147750939e-16,True,1e-10
z,4,none,4,aer_cpu,statevector,6,2.886579864025407e-15,True,1e-10
z,4,none,4,aer_gpu,statevector,6,2.55351295663786e-15,True,1e-10
dense_angle,4,linear,2,braket,statevector,6,4.440892098500626e-16,True,1e-10
dense_angle,4,linear,2,aer_cpu,statevector,6,2.220446049250313e-15,True,1e-10
dense_angle,4,linear,2,aer_gpu,statevector,6,3.4416913763379853e-15,True,1e-10
