arm,block,n_rows,n_fraud,n_legit,day_first,day_last,count_fraud_rate,value_fraud_rate,total_amount
temporal,train,356216,12039,344177,0,100,0.03379690974015766,0.035305535281871366,47811209.447
temporal,band,58326,2561,55765,101,119,0.04390837705311525,0.055536400470901276,8027793.055
temporal,cal,60464,2121,58343,120,140,0.03507872453029902,0.04510042497291599,8056630.602
temporal,test,115534,3942,111592,141,181,0.03411982619834854,0.0370283807798489,15843315.631
stratified,train,354324,12398,341926,0,181,0.03499057359930459,0.0389962234471495,47972579.537999995
stratified,band,59054,2066,56988,0,181,0.03498492904798998,0.039910171227404444,7972507.464000001
stratified,cal,59054,2066,56988,0,181,0.03498492904798998,0.038523831689721164,7993251.852000001
stratified,test,118108,4133,113975,0,181,0.0349933958749619,0.037149237049756895,15800609.881000001
card_disjoint,train,363817,12336,351481,0,181,0.03390715661994904,0.035933491829348865,49366814.932000004
card_disjoint,band,55411,2208,53203,0,181,0.03984768367291693,0.046929474430501376,6632622.116
card_disjoint,cal,56870,2192,54678,0,181,0.038544047828380515,0.04787675128157654,7173379.58
card_disjoint,test,114442,3927,110515,0,181,0.03431432516034323,0.03955173330551541,16566132.107
